Action,Time,Element Name,Type of Element,Containing Type,Containing Method,Type of Relation,Category,Input Method,View,Notes,Notes #2
Show Method,25:06,save(file),Method,ControllerAdapter,,Reference,Navigation,Mouse,Problems Window,Using Error List,
Show Method,25:17,save ,Method,ModeController,,Definition,Navigation,Mouse,Java Editor,Using Super Method Icon in Java Editor ,
Edit Code,25:25,,Instruction,ControllerAdapter,save(File),,Edit Code,Keyboard,Java Editor,Editing Existing Methods,
Edit Code,25:32,,Instruction,ModeController,save(File),,Edit Code,Keyboard,Java Editor,Editing Existing Methods,via Quick Fix
Open Type,25:37,ControllerAdapter,Class,,,,Navigation,Mouse,Java Editor,Click on Tab,
Edit Code,25:43,,Instruction,ControllerAdapter,saveAs,,Edit Code,Keyboard,Java Editor,,
Edit Code,25:51,,Instruction,ModeController,saveAs,,Edit Code,Keyboard,Java Editor,,
Open Type,26:09,ControllerAdapter,Class,,,,Navigation,Mouse,Java Editor,Click on Tab,
Open Type,26:22,ControllerAdapter.SaveAsAction,Class,ControllerAdapter,,,Navigation,Mouse,Java Editor,Click on Error,
Scan,26:22,actionPerformed,Method,ControllerAdapter.SaveAsAction,,,Navigation,Mouse,Java Editor,,
Edit Code,26:30,actionPerformed,Method,ControllerAdapter.SaveAsAction,,,Edit Code,Keyboard,Java Editor,,
Show Method,27:59,saveInternal,Method,MindMapMapModel,,Definition,Navigation,Mouse,Package Explorer,Using Filtered Package Explorer,
Show Method,28:05,getFrame,Method,MapAdapter,,Reference,Navigation,Mouse,Java Editor,Ctrl+Click on Reference,
Back,28:09,saveInternal,Method,MindMapMapModel,,,Navigation,Keyboard,Java Editor,,
Scan,28:09,saveInternal,Method,MindMapMapModel,,,Navigation,Mouse,Java Editor,,
Show Method,28:15,out,Method,FreeMindMain,,Reference,Navigation,Mouse,Java Editor,Ctrl+Click on Reference,
Quick Hierarchy,28:17,,,,,,View,Keyboard,Java Editor,Ctrl+T,
Open Type,28:21,out,Method,FreeMind ,,Definition,Navigation,Mouse,Quick Hierarchy,Using Quick Hierarchy,
Back,28:25,,,,,,Navigation,Mouse,Java Editor,,
Quick Hierarchy,28:26,,,,,,View,Keyboard,Java Editor,Ctrl+T,
Show Method,28:27,out,Method,FreeMindApplet,,Reference,Navigation,Mouse,Java Editor,Ctrl+Click on Reference,
Back,28:30,,,,,,Navigation,Keyboard,Java Editor,Alt+Left,
Quick Hierarchy,28:31,,,,,,View,Keyboard,Java Editor,Ctrl+T,
Show Method,28:32,out,Method,FreeMindMainMock,,Reference,Navigation,Mouse,Java Editor,Ctrl+Click on Reference,
Back,28:34,,,,,,Navigation,Keyboard,Java Editor,Alt+Left,
Last Edit Location,28:53,,,,,,Navigation,Keyboard,Java Editor,Ctrl+Q,
Scan,28:55,actionPerformed,Method,ControllerAdapter.SaveAsAction,,,Navigation,Mouse,Java Editor,,
Back,29:01,,,,,,Navigation,Keyboard,Java Editor,Alt+Left,
Quick Outline,29:08,ControllerAdapter,Class,,,,View,Keyboard,Java Editor,Ctrl+O,
Scan,29:12,MindMapMapModel,Class,,,,Navigation,Mouse,Java Editor,,
Last Edit Location,29:29,actionPerformed,Method,ControllerAdapter.SaveAsAction,,,Navigation,Keyboard,Java Editor,Ctrl+Q,
Edit Code,29:34,,Instruction,ControllerAdapter.SaveAsAction,actionPerformed,,Edit Code,Keyboard,Java Editor,Editing Existing Methods,
Show Instruction,29:44,,Instruction,MindMapMapModel,saveInternal,,Navigation,Keyboard,Java Editor,,
Back,29:54,ControllerAdapter,Class,,,,Navigation,Keyboard,Java Editor,,
Quick Outline,29:54,ControllerAdapter,Class,,,,View,Keyboard,Java Editor,Ctrl+O,
Edit Code,30:01,,Instruction,ControllerAdapter.SaveAsAction,actionPerformed,,Edit Code,Keyboard,Java Editor,Editing Existing Methods,
Back,30:12,saveInternal,Method,MindMapMapModel,,,Navigation,Keyboard,Java Editor,Alt+Left,
Edit Code,30:03,ControllerAdapter,Class,,,,Edit Code,Keyboard,Java Editor,Editing Existing Methods,
Copy Code,30:22,,Instruction,ControllerAdapter,saveInternal,,Edit Code,Keyboard,Java Editor,,
Show Instruction,30:25,,Instruction,ControllerAdapter.SaveAsAction,actionPerformed,,Navigation,Keyboard,Java Editor,,
Edit Code,30:28,,Instruction,ControllerAdapter.SaveAsAction,actionPerformed,,Edit Code,Keyboard,Java Editor,Paste Code,
View Task,30:59,Task,Mylin Task,,,,View,Mouse,Mylyn Window,,
Last Edit Location,31:05,,,,,,Navigation,Keyboard,Java Editor,Ctrl+Q,
Show Instruction,31:14,,Instruction,ControllerAdapter,save,,Navigation,Mouse,Java Editor,,
Edit Code,31:16,,Instruction,ControllerAdapter,save,,Edit Code,Keyboard,Java Editor,Editing Existing Methods,
Show Method,31:26,save ,Method,ModeController,,Definition,Navigation,Mouse,Java Editor,Using Super Method Icon in Java Editor ,
Quick Hierarchy,31:28,save ,Method,ModeController,,,View,Keyboard,Java Editor,Ctrl+T,
Back,31:31,,,,,,Navigation,Keyboard,Java Editor,Alt+Left,
Edit Code,31:35,,Instruction,ControllerAdapter,save,,Edit Code,Keyboard,Java Editor,Editing Existing Methods,
Edit Code,31:41,,Instruction,ModeController,save,,Edit Code,Keyboard,Java Editor,Editing Existing Methods,
Open Type,31:49,ControllerAdapter,Class,,,,Navigation,Mouse,Java Editor,Click on Tab,
Show Instruction,31:55,,Instruction,ControllerAdapter,close,,Navigation,Mouse,Java Editor,Click on Error,
Edit Code,31:58,,Instruction,ControllerAdapter,close,,Edit Code,Keyboard,Java Editor,Editing Existing Methods,
Show Instruction,33:07,,Instruction,ControllerAdapter.SaveAction,actionPerformed,,Navigation,Mouse,Java Editor,Click on Error,
Edit Code,33:10,,Instruction,ControllerAdapter.SaveAction,actionPerformed,,Edit Code,Keyboard,Java Editor,,
Show Instruction,34:00,,Instruction,ExportBranchAction,actionPerformed,,Navigation,Mouse,Problems Window,,
Scan,34:13,ExportBranchAction,Class,,,,Navigation,Mouse,Java Editor,,
Show Instruction,34:20,,Instruction,ControllerAdapter.SaveAsAction,actionPerformed,,Navigation,Keyboard,Java Editor,,
Show Instruction,34:27,,Instruction,ExportBranchAction,,Reference,Navigation,Mouse,Problems Window,Using Error List,
Edit Code,34:30,,Instruction,ExportBranchAction,actionPerformed,,Edit Code,Keyboard,Java Editor,,
Quick Outline,34:48,ExportBranchAction,Class,,,,View,Keyboard,Java Editor,Ctrl+O,
Edit Code,34:58,ExportBranchAction,Class,,,,Edit Code,Keyboard,Java Editor,Editing Existing Methods,
Show Instruction,35:03,,Instruction,ExportBranchAction,actionPerformed,,Navigation,Mouse,Java Editor,Click on Error,
Scan,35:03,actionPerformed,Class,ExportBranchAction,,,Navigation,Mouse,Java Editor,,
Edit Code,35:17,,Instruction,ExportBranchAction,actionPerformed,,Edit Code,Keyboard,Java Editor,,
Show Instruction,35:35,,Instruction,ExportWithXSLT,startupMapHook,Reference,Navigation,Mouse,Problems Window,Using Errors Lilst,
Scan,35:35,startupMapHook,Method,ExportWithXSLT,,,Navigation,Mouse,Java Editor,,
Open Call Hierarchy,35:55,startupMapHook,Method,ExportWithXSLT,,,View,Keyboard,Java Editor,Ctrl+Alt+H,
Show Method,35:57,invokeHook,Method,MindMapController,,Reference,Navigation,Mouse,Call Hierarchy Window,Using Call Hierarchy,
Select enclosing Element,36:09,startupMapHook,Method,ExportWithXSLT,,Definition,Navigation,Keyboard,Java Editor,Alt+Shift+Up,
Edit Code,36:16,,Instruction,ExportWithXSLT,startupMapHook,,Edit Code,Keyboard,Java Editor,,
Show Instruction,36:56,,Instruction,MindMapController,loadURL,Reference,Navigation,Mouse,Problems Window,Using Error List,
Edit Code,37:08,,Instruction,MindMapController,loadURL,,Edit Code,Keyboard,Java Editor,Editing Existing Methods,
Show Method,38:16,,Instruction,Resources,logException(Throwable),Reference,Navigation,Mouse,Java Editor,Ctrl+Click on Reference,
Show Method,38:18,,Instruction,Resources,"logException(Throwable, String)",Reference,Navigation,Mouse,Java Editor,Ctrl+Click on Reference,
Back,38:23,,Instruction,MindMapController,loadURL,,Navigation,Keyboard,Java Editor,,
Show Instruction,38:26,,Instruction,SaveAll,startupMapHook,Reference,Navigation,Mouse,Problems Window,Using Error List,
Edit Code,39:19,,Instruction,SaveAll,startupMapHook,,Edit Code,Keyboard,Java Editor,Editing Existing Methods,
Show Instruction,39:24,,Instruction,SchemeController,saveAs,Reference,Navigation,Mouse,Problems Window,Using Error List,
Edit Code,39:31,,Instruction,SchemeController,saveAs,,Edit Code,Keyboard,Java Editor,Editing Existing Methods,
Debug,39:45,FreeMind_integration,Project,,,,Debugging,Mouse,Mylyn Window,,
Verify Fixed Bug,39:40,,,,,,,,,,
Close Mylin Task,41:00,,,,,,,,,,
