Action,Time,Element Name,Type of Element,Containing Type,Containing Method,Type of Relation,Category,Input Method,View,Notes,Notes #2
Expand,19:38,org.pwsafe.lib.crypto,Package,,,Source Folder Contains Package,Navigation,Mouse,Package Explorer,,
Collapse,19:40,org.pwsafe.lib.crypto,Package,,,Source Folder Contains Package,Navigation,Mouse,Package Explorer,,
Expand,19:41,org.pwsafe.lib.datastore,Package,,,Source Folder Contains Package,Navigation,Mouse,Package Explorer,,
Collapse,19:42,org.pwsafe.lib.datastore,Package,,,Source Folder Contains Package,Navigation,Mouse,Package Explorer,,
Expand,19:44,org.pwsafe.lib.exception,Package,,,Source Folder Contains Package,Navigation,Mouse,Package Explorer,,
Collapse,19:46,org.pwsafe.lib.exception,Package,,,Source Folder Contains Package,Navigation,Mouse,Package Explorer,,
Expand,19:47,org.pwsafe.lib.file,Package,,,Source Folder Contains Package,Navigation,Mouse,Package Explorer,,
Collapse,19:52,org.pwsafe.lib.file,Package,,,Source Folder Contains Package,Navigation,Mouse,Package Explorer,,
Expand,19:53,org.pwsafe.lib.util,Package,,,Source Folder Contains Package,Navigation,Mouse,Package Explorer,,
Collapse,19:58,org.pwsafe.lib.util,Package,,,Source Folder Contains Package,Navigation,Mouse,Package Explorer,,
Expand,20:02,PasswordSafeSWT,Project,,,,Navigation,Mouse,Package Explorer,,
Scan,20:02,Packages,,,,Source Folder Contains Package,Navigation,,Package Explorer,,
Expand,20:12,org.pwsafe.passwordsafeswt.listener,Package,,,Source Folder Contains Package,Navigation,Mouse,Package Explorer,,
Open Type,20:18,ViewerDoubleClickListener,Class,,,,Navigation,Mouse,Package Explorer,,
Scan,20:18,ViewerDoubleClickListener,Class,,,,Navigation,,Java Editor,,
Set Breakpoint,21:14,,Instruction,ViewerDoubleClickListener,doubleClick,,Debugging,Mouse,Java Editor,,
Debug,21:54,PasswordSafeSWT,Project,,,,Debugging,Mouse,Eclipse,,
Hit Breakpoint,22:01,,Instruction,PasswordSafeJFace,updateViewers,,Debugging,,Java Editor,,
Resume,22:09,,,,,,Debugging,Mouse,Eclipse,,
Hit Breakpoint,22:01,,Instruction,ViewerDoubleClickListener,doubleClick,,Debugging,,Java Editor,,
Scan,22:01,ViewerDoubleClickListener,Class,,,,Navigation,,Java Editor,,
Step Into,22:41,,Instruction,UserPreferences,getInstance,,Debugging,Mouse,Eclipse,,
Step Over,22:45,,Instruction,UserPreferences,,,Debugging,Mouse,Eclipse,,
Scan,22:45,getInstance,Method,UserPreferences,,,Navigation,,Java Editor,,
Step Over,22:57,,Instruction,ViewerDoubleClickListener,doubleClick,,Debugging,Mouse,Eclipse,,
Scan,22:57,doubleClick,Method,ViewerDoubleClickListener,,,Navigation,,Java Editor,,
Step Over,23:07,,Instruction,ViewerDoubleClickListener,doubleClick,,Debugging,Mouse,Eclipse,,
Step Over,23:09,,Instruction,ViewerDoubleClickListener,doubleClick,,Debugging,Mouse,Eclipse,,
Scan,23:09,doubleClick,Method,ViewerDoubleClickListener,,,Navigation,,Java Editor,,
Step Into,23:22,,Instruction,CopyPasswordAction,run,,Debugging,Mouse,Eclipse,,
Step Over,23:37,,Instruction,CopyPasswordAction,run,,Debugging,Mouse,Eclipse,,
Step Over,23:40,,Instruction,CopyPasswordAction,run,,Debugging,Mouse,Eclipse,,
View Variable,23:42,selected,Local Variable,CopyPasswordAction,,,Debugging,Mouse,Variables Window,,
Terminate Execution,24:11,,,,,,Debugging,Mouse,Eclipse,,
Debug,24:31,PasswordSafeSWT,Project,,,,Debugging,Mouse,Eclipse,,
Hit Breakpoint,24:38,,Instruction,PasswordSafeJFace,updateViewers,,Debugging,,Java Editor,,
Disable Breakpoint,24:44,,Instruction,PasswordSafeJFace,updateViewers,,Debugging,Mouse,Breakpoints Window,,
Resume,24:45,,,,,,Debugging,Mouse,Eclipse,,
Hit Breakpoint,24:53,,Instruction,ViewerDoubleClickListener,doubleClick,,Debugging,,Java Editor,,
Step Over,25:00,,Instruction,ViewerDoubleClickListener,doubleClick,,Debugging,Mouse,Eclipse,,
Step Over,25:01,,Instruction,ViewerDoubleClickListener,doubleClick,,Debugging,Mouse,Eclipse,,
Step Over,25:02,,Instruction,ViewerDoubleClickListener,doubleClick,,Debugging,Mouse,Eclipse,,
Step Into,25:03,,Instruction,CopyPasswordAction,run,,Debugging,Mouse,Eclipse,,
Step Over,25:04,,Instruction,CopyPasswordAction,run,,Debugging,Mouse,Eclipse,,
Step Over,25:05,,Instruction,CopyPasswordAction,run,,Debugging,Mouse,Eclipse,,
View Variable,25:08,selected,Local Variable,CopyPasswordAction,run,,Debugging,Mouse,Variables Window,,
Expand,25:15,selected,Local Variable,CopyPasswordAction,run,,Debugging,Mouse,Variables Window,,
Expand,25:27,title,Local Variable,CopyPasswordAction,run,,Debugging,Mouse,Variables Window,,
Step Over,25:33,,Instruction,CopyPasswordAction,run,,Debugging,Mouse,Eclipse,,
Scan,25:33,run,Method,CopyPasswordAction,,,Navigation,,Java Editor,,
Step Over,25:45,,Instruction,CopyPasswordAction,run,,Debugging,Mouse,Eclipse,,
Collapse,25:45,title,Local Variable,CopyPasswordAction,run,,Debugging,Mouse,Variables Window,,
Scan,25:49,Variables,,CopyPasswordAction,run,,Debugging,Mouse,Variables Window,,
View Variable,25:50,theEntry,Local Variable,CopyPasswordAction,run,,Debugging,Mouse,Variables Window,,
Expand,25:54,theEntry,Local Variable,CopyPasswordAction,run,,Debugging,Mouse,Variables Window,,
Scan,25:54,Variables,,CopyPasswordAction,run,,Debugging,Mouse,Variables Window,,
Scan,25:14,run,Method,CopyPasswordAction,,,Navigation,,Java Editor,,
Step Over,27:04,,Instruction,CopyPasswordAction,run,,Debugging,Mouse,Eclipse,,
Step Over,27:05,,Instruction,SafeRunnable,run,,Debugging,Mouse,Eclipse,No Sources Attached,
Step Over,27:06,,Instruction,SafeRunnable,run,,Debugging,Mouse,Eclipse,No Sources Attached,
Step Over,27:08,,Instruction,SafeRunnable,run,,Debugging,Mouse,Eclipse,No Sources Attached,
Step Over,27:10,,Instruction,StructuredViewer,fireDoubleClick,,Debugging,Mouse,Eclipse,No Sources Attached,
Step Over,27:12,,Instruction,StructuredViewer,fireDoubleClick,,Debugging,Mouse,Eclipse,No Sources Attached,
Step Over,27:14,,Instruction,StructuredViewer,widgetDefaultSelected,,Debugging,Mouse,Eclipse,No Sources Attached,
Step Over,27:16,,Instruction,StructuredViewer,widgetDefaultSelected,,Debugging,Mouse,Eclipse,No Sources Attached,
Step Over,27:18,,Instruction,OpenStrategy,fireDefaultSelectionEvent,,Debugging,Mouse,Eclipse,No Sources Attached,
Step Over,27:20,,Instruction,OpenStrategy,fireDefaultSelectionEvent,,Debugging,Mouse,Eclipse,No Sources Attached,
Step Over,27:22,,Instruction,OpenStrategy,fireDefaultSelectionEvent,,Debugging,Mouse,Eclipse,No Sources Attached,
Step Over,27:24,,Instruction,OpenStrategy,fireDefaultSelectionEvent,,Debugging,Mouse,Eclipse,No Sources Attached,
Show Breakpoint,27:29,,Instruction,ViewerDoubleClickListener,doubleClick,,Navigation,Mouse,Breakpoints Window,,
Scan,27:29,ViewerDoubleClickListener,Method,ViewerDoubleClickListener,,,Navigation,,Java Editor,,
Open Declaration,28:15,EditRecordAction,Method,EditRecordAction,,Declaration,Navigation,Both,Java Editor,Ctrl+Click,Click on Refrence
Scan,28:15,EditRecordAction,Class,,,,Navigation,,Java Editor,,
Show Javadoc,28:27,PwsEntryBean,Class,,,,Navigation,Mouse,Java Editor,Mouse Hover,
Scan,28:33,EditRecordAction,Class,,,,Navigation,,Java Editor,,
Google JavaDoc for TableViewer,29:18,,,,,,Other,Both,Google Chrome,,
Back,29:27,ViewerDoubleClickListener,Class,,,Navigation History,Navigation,Mouse,Eclipse,Alt+Left,
Forward,29:29,OpenStrategy,Class,,,Navigation History,Navigation,Mouse,Eclipse,Alt+Right,
Back,29:29,ViewerDoubleClickListener,Class,,,Navigation History,Navigation,Mouse,Eclipse,Alt+Left,
Scan,29:29,doubleClick,Method,ViewerDoubleClickListener,,,Navigation,,Java Editor,,
Debug,30:22,PasswordSafeSWT,Project,,,,Debugging,Mouse,Eclipse,,
Find,30:52,„ViewerDoubleClickListener“,String,,,Any File Contains String,Navigation,Mouse,Find Dialog,,
Show Instruction,31:20,,Instruction,PasswordSafeJFace,addTableView,Instrunction matches String,Navigation,Mouse,Results Window,,
Edit Code,31:21,,,PasswordSafeJFace,addTableView,,Edit Code,Keyboard,Java Editor,incomplete...,
Terminate Execution,31:44,,,,,,Debugging,Mouse,Eclipse,,
Google TableViewer click listener,31:55,,,,,,Other,Both,Google Chrome,,
Edit Code,35:14,,,PasswordSafeJFace,addTableView,,Edit Code,Keyboard,Java Editor,added selection listener with syso,
Set Breakpoint,36:04,,Instruction,PasswordSafeJFace.<Anonymous SelectionChangeListener>,selectionChanged,,Debugging,Mouse,Java Editor,,
Debug,36:12,PasswordSafeSWT,Project,,,,Debugging,Mouse,Eclipse,,
Hit Breakpoint,36:37,,Instruction,PasswordSafeJFace.<Anonymous SelectionChangeListener>,selectionChanged,,Debugging,,Java Editor,,
Scan,36:37,PasswordSafeJFace,Method,,,,Navigation,,Java Editor,,
Open Declaration,37:17,TableColumnSelectionAdaptor,Method,TableColumnSelectionAdaptor,,Declaration,Navigation,Both,Java Editor,Ctrl+Click,Click on Refrence
Scan,37:17,TableColumnSelectionAdaptor,Class,,,Declaration,Navigation,,Java Editor,,
Set Breakpoint,37:31,,Instruction,TableColumnSelectionAdaptor,widgetSelected,,Debugging,Mouse,Java Editor,,
Back,37:35,,,,,Navigation History,Navigation,Mouse,Java Editor,Alt+Left,
Scan,37:35,PasswordSafeJFace,Method,,,,Navigation,,Java Editor,,
Scan,38:43,PasswordSafeJFace,Class,,,Outline of Class,Navigation,Mouse,Outline Window,,
Show Method,39:13,selectionChanged,Method,PasswordSafeJFace,,Class Contains Method,Navigation,Mouse,Outline Window,,
Show Method,39:33,getSelectedRecord,Method,PasswordSafeJFace,,Class Contains Method,Navigation,Mouse,Outline Window,,
Scan,39:49,PasswordSafeJFace,Class,,,Outline of Class,Navigation,Mouse,Java Editor,,
Scan,29:51,PasswordSafeJFace,Class,,,Outline of Class,Navigation,Mouse,Outline Window,,
Show Breakpoint,41:02,,Instruction,ViewerDoubleClickListener,doubleClick,,Navigation,Mouse,Breakpoints Window,,
Show Breakpoint,41:05,,Instruction,TableColumnSelection,widgetSelected,,Navigation,Mouse,Breakpoints Window,,
Terminate Execution,41:08,,,,,,Debugging,Mouse,Eclipse,,
Debug,41:10,PasswordSafeSWT,Project,,,,Debugging,Mouse,Eclipse,,
Hit Breakpoint,41:18,,Instruction,PasswordSafeJFace.<Anonymous SelectionChangeListener>,selectionChanged,,Debugging,,Java Editor,,
Resume,41:21,,,,,,Debugging,Mouse,Eclipse,,
Resume,42:00,,,,,,Debugging,Mouse,Eclipse,,
Debug,42:30,PasswordSafeSWT,Project,,,,Debugging,Mouse,Eclipse,,
Hit Breakpoint,42:40,,Instruction,PasswordSafeJFace.<Anonymous SelectionChangeListener>,selectionChanged,,Debugging,,Java Editor,,
Resume,42:41,,,,,,Debugging,Mouse,Eclipse,,
Hit Breakpoint,42:46,,Instruction,PasswordSafeJFace.<Anonymous SelectionChangeListener>,selectionChanged,,Debugging,,Java Editor,,
Show Breakpoint,43:18,,Instruction,PasswordSafeJFace,updateViewers,,Navigation,Mouse,Breakpoints Window,,
Scan,43:18,updateViewers,Method,PasswordSafeJFace,,,Navigation,,Java Editor,,
Show Breakpoint,43:34,,Instruction,TableColumnSelection,,,Navigation,Mouse,Breakpoints Window,,
Scan,43:34,widgetSelected,Method,TableColumnSelection,,,Navigation,,Java Editor,,
Show Breakpoint,44:15,,Instruction,PasswordSafeJFace,updateViewers,,Navigation,Mouse,Breakpoints Window,,
Scan,44:15,updateViewers,Method,PasswordSafeJFace,,,Navigation,,Java Editor,,
Show Breakpoint,44:19,,Instruction,ViewerDoubleClickListener,doubleClick,,Navigation,Mouse,Breakpoints Window,,
Scan,44:19,doubleClick,Method,ViewerDoubleClickListener,,,Navigation,,Java Editor,,
Show Breakpoint,44:20,,Instruction,TableColumnSelection,widgetSelected,,Navigation,Mouse,Breakpoints Window,,
Scan,44:20,widgetSelected,Method,TableColumnSelection,,,Navigation,,Java Editor,,
Show Breakpoint,44:32,,Instruction,PasswordSafeJFace.<Anonymous SelectionChangeListener>,selectionChanged,,Navigation,Mouse,Breakpoints Window,,
Edit Code,44:50,,Instruction,PasswordSafeJFace.<Anonymous SelectionChangeListener>,selectionChanged,,Edit Code,Keyboard,Java Editor,arg0.getSelection(),
Show Breakpoint,45:25,,Instruction,PasswordSafeJFace.<Anonymous SelectionChangeListener>,selectionChanged,,Navigation,Mouse,Breakpoints Window,,
Open Declaration,45:29,getSelection,Method,SelectionChangeEvent,,Declaration,Navigation,Both,Java Editor,Ctrl+Click,no sources attached
Edit Code,45:47,,Instruction,PasswordSafeJFace.<Anonymous SelectionChangeListener>,selectionChanged,,Edit Code,Keyboard,Java Editor,variable assignment,
Set Breakpoint,45:52,,Instruction,PasswordSafeJFace.<Anonymous SelectionChangeListener>,selectionChanged,,Debugging,Mouse,Java Editor,A ,
Remove Breakpoint,46:05,,Instruction,PasswordSafeJFace.<Anonymous SelectionChangeListener>,selectionChanged,,Debugging,Mouse,Java Editor,B,
Terminate Execution,46:08,,,,,,Debugging,Mouse,Eclipse,,
Debug,46:09,PasswordSafeSWT,Project,,,,Debugging,Mouse,Eclipse,,
Hit Breakpoint,46:17,,Instruction,PasswordSafeJFace.<Anonymous SelectionChangeListener>,selectionChanged,,Debugging,,Java Editor,A ,
Scan,46:44,Variables,,PasswordSafeJFace.<Anonymous SelectionChangeListener>,,,Debugging,Mouse,Variables Window,,
Step Over,46:48,,Instruction,PasswordSafeJFace.<Anonymous SelectionChangeListener>,selectionChanged,,Debugging,Mouse,Eclipse,,
View Variable,46:50,sel ,Local Variable,PasswordSafeJFace.<Anonymous SelectionChangeListener>,,,Debugging,Mouse,Variables Window,,
Expand,46:55,sel ,Local Variable,PasswordSafeJFace.<Anonymous SelectionChangeListener>,,,Debugging,Mouse,Variables Window,,
Scan,47:24,Variables,,PasswordSafeJFace.<Anonymous SelectionChangeListener>,,,Debugging,Mouse,Variables Window,,
Expand,47:26,elements,Local Variable,PasswordSafeJFace.<Anonymous SelectionChangeListener>,,,Debugging,Mouse,Variables Window,,
Expand,47:29,[0],Local Variable,PasswordSafeJFace.<Anonymous SelectionChangeListener>,,,Debugging,Mouse,Variables Window,,
Scan,47:36,Variables,,PasswordSafeJFace.<Anonymous SelectionChangeListener>,,,Debugging,Mouse,Variables Window,,
Expand,47:52,group,Local Variable,PasswordSafeJFace.<Anonymous SelectionChangeListener>,,,Debugging,Mouse,Variables Window,,
Resume,48:01,,,,,,Debugging,Mouse,Eclipse,,
Hit Breakpoint,48:13,,Instruction,PasswordSafeJFace.<Anonymous SelectionChangeListener>,selectionChanged,,Debugging,,Java Editor,A ,
Step Over,48:19,,Instruction,PasswordSafeJFace.<Anonymous SelectionChangeListener>,selectionChanged,,Debugging,Mouse,Eclipse,,
View Variable,48:20,sel ,Local Variable,PasswordSafeJFace.<Anonymous SelectionChangeListener>,,,Debugging,Mouse,Variables Window,,
Expand,48:21,sel ,Local Variable,PasswordSafeJFace.<Anonymous SelectionChangeListener>,,,Debugging,Mouse,Variables Window,,
Expand,48:27,elements,Local Variable,PasswordSafeJFace.<Anonymous SelectionChangeListener>,,,Debugging,Mouse,Variables Window,,
Expand,48:30,[0],Local Variable,PasswordSafeJFace.<Anonymous SelectionChangeListener>,,,Debugging,Mouse,Variables Window,,
Expand,48:33,group,Local Variable,PasswordSafeJFace.<Anonymous SelectionChangeListener>,,,Debugging,Mouse,Variables Window,,
Expand,48:46,title,Local Variable,PasswordSafeJFace.<Anonymous SelectionChangeListener>,,,Debugging,Mouse,Variables Window,,
Resume,48:55,,,,,,Debugging,Mouse,Eclipse,,
Hit Breakpoint,49:07,,Instruction,PasswordSafeJFace.<Anonymous SelectionChangeListener>,selectionChanged,,Debugging,,Java Editor,A ,
Step Over,49:12,,Instruction,PasswordSafeJFace.<Anonymous SelectionChangeListener>,selectionChanged,,Debugging,Mouse,Eclipse,,
Expand,49:14,sel ,Local Variable,PasswordSafeJFace.<Anonymous SelectionChangeListener>,,,Debugging,Mouse,Variables Window,,
Expand,49:19,elements,Local Variable,PasswordSafeJFace.<Anonymous SelectionChangeListener>,,,Debugging,Mouse,Variables Window,,
Expand,49:21,[0],Local Variable,PasswordSafeJFace.<Anonymous SelectionChangeListener>,,,Debugging,Mouse,Variables Window,,
Expand,49:36,title,Local Variable,PasswordSafeJFace.<Anonymous SelectionChangeListener>,,,Debugging,Mouse,Variables Window,,
Expand,49:40,value,Local Variable,PasswordSafeJFace.<Anonymous SelectionChangeListener>,,,Debugging,Mouse,Variables Window,,
Resume,49:46,,,,,,Debugging,Mouse,Eclipse,,
Hit Breakpoint,49:58,,Instruction,PasswordSafeJFace.<Anonymous SelectionChangeListener>,selectionChanged,,Debugging,,Java Editor,A ,
Step Over,50:06,,Instruction,PasswordSafeJFace.<Anonymous SelectionChangeListener>,selectionChanged,,Debugging,Mouse,Eclipse,,
Expand,50:12,sel ,Local Variable,PasswordSafeJFace.<Anonymous SelectionChangeListener>,,,Debugging,Mouse,Variables Window,,
Expand,50:16,elements,Local Variable,PasswordSafeJFace.<Anonymous SelectionChangeListener>,,,Debugging,Mouse,Variables Window,,
Expand,50:18,[0],Local Variable,PasswordSafeJFace.<Anonymous SelectionChangeListener>,,,Debugging,Mouse,Variables Window,,
Expand,50:23,group,Local Variable,PasswordSafeJFace.<Anonymous SelectionChangeListener>,,,Debugging,Mouse,Variables Window,,
Expand,50:31,value,Local Variable,PasswordSafeJFace.<Anonymous SelectionChangeListener>,,,Debugging,Mouse,Variables Window,,
Resume,50:44,,,,,,Debugging,Mouse,Eclipse,,
Scan,51:05,selectionChanged,Method,PasswordSafeJFace.<Anonymous SelectionChangeListener>,,,Navigation,,Java Editor,,
Hit Breakpoint,51:18,,Instruction,PasswordSafeJFace.<Anonymous SelectionChangeListener>,selectionChanged,,Debugging,,Java Editor,A ,
Step Over,51:23,,Instruction,PasswordSafeJFace.<Anonymous SelectionChangeListener>,selectionChanged,,Debugging,Mouse,Eclipse,,
Expand,51:24,sel ,Local Variable,PasswordSafeJFace.<Anonymous SelectionChangeListener>,,,Debugging,Mouse,Variables Window,,
Expand,51:28,elements,Local Variable,PasswordSafeJFace.<Anonymous SelectionChangeListener>,,,Debugging,Mouse,Variables Window,,
Expand,51:29,[0],Local Variable,PasswordSafeJFace.<Anonymous SelectionChangeListener>,,,Debugging,Mouse,Variables Window,,
Expand,51:39,title,Local Variable,PasswordSafeJFace.<Anonymous SelectionChangeListener>,,,Debugging,Mouse,Variables Window,,
Collapse,51:41,title,Local Variable,PasswordSafeJFace.<Anonymous SelectionChangeListener>,,,Debugging,Mouse,Variables Window,,
Scan,51:42,Variables,,PasswordSafeJFace.<Anonymous SelectionChangeListener>,,,Debugging,Mouse,Variables Window,,
Expand,51:56,notes,Local Variable,PasswordSafeJFace.<Anonymous SelectionChangeListener>,,,Debugging,Mouse,Variables Window,,
Collapse,51:57,notes,Local Variable,PasswordSafeJFace.<Anonymous SelectionChangeListener>,,,Debugging,Mouse,Variables Window,,
Scan,51:58,Variables,,PasswordSafeJFace.<Anonymous SelectionChangeListener>,,,Debugging,Mouse,Variables Window,,
Resume,52:13,,,,,,Debugging,Mouse,Eclipse,,
Hit Breakpoint,52:31,,Instruction,PasswordSafeJFace.<Anonymous SelectionChangeListener>,selectionChanged,,Debugging,,Java Editor,A ,
Step Over,52:35,,Instruction,PasswordSafeJFace.<Anonymous SelectionChangeListener>,selectionChanged,,Debugging,Mouse,Eclipse,,
Expand,52:37,sel ,Local Variable,PasswordSafeJFace.<Anonymous SelectionChangeListener>,,,Debugging,Mouse,Variables Window,,
Expand,52:40,elements,Local Variable,PasswordSafeJFace.<Anonymous SelectionChangeListener>,,,Debugging,Mouse,Variables Window,,
