Action,Time,Element Name,Type of Element,Containing Type,Containing Method,Type of Relation,Category,Input Method,View,Notes,Notes #2
Show Instruction,19:05,,Instruction,PasswortSafeJFace,addTableView,Instruction References Class,Navigation,Mouse,Results Window,,
Scan,19:07,addTableView,Method,PasswortSafeJFace,,,Navigation,,Java Editor,,
Resume,19:18,,Instruction,,,,Debugging,?,Eclipse,???,
Hit Breakpoint,19:18,,Instruction,PasswordTableContentProvider,inputChanged,,Debugging,,Java Editor,,
Remove Breakpoint ,19:22,,Instruction,PasswordTableContentProvider,inputChanged,,Debugging,,Java Editor,,
Resume,19:24,,Instruction,,,,Debugging,Mouse,Eclipse,,
Scan,19:30,PasswordTableContentProvider,Class,,,,Navigation,,Java Editor,,
View Javadoc,19:51,dataStore,Field,PasswordTableContentProvider,,,Navigation,Mouse,Java Editor,Mouse hover,
Show Declaration,20:03,PwsEntryStore,Class,,,Type of Field,Navigation,Both,Java Editor,Ctrl+Click on Field Type,
Scan,20:05,PwsEntryStore,Interface,,,,Navigation,,Java Editor,,
Close Window,20:16,PwsEntryStore,Interface,,,,Navigation,Mouse,Java Editor,,
View Javadoc,20:19,Viewer,Type of Argument,PasswordTableContentProvider,inputChanged,,Navigation,Mouse,Java Editor,Mouse hover,
Scan,20:19,PasswordTableContentProvider,Class,,,,Navigation,,Java Editor,,
Show Instruction,20:21,,Instruction,PasswortSafeJFace,addTableView,Instruction References Class,Navigation,Mouse,Results Window,,
View Javadoc,20:28,TableColumn,Type of Variable,PasswortSafeJFace,addTableView,,Navigation,Mouse,Java Editor,Mouse hover,
View Javadoc,20:29,tableColumn,Variable,PasswortSafeJFace,addTableView,,Navigation,Mouse,Java Editor,Mouse hover,
View Javadoc,20:30,PasswordTableSorter,Type of Argument,PasswortSafeJFace,addTableView,,Navigation,Mouse,Java Editor,Mouse hover,
Show Declaration,20:32,PasswordTableSorter,Class,,,Type of Argument,Navigation,Both,Java Editor,Ctrl+Click on Field Type,
Scan,20:38,PasswordSafeSWT/src,Source Folder,,,,Navigation,,Package Explorer,,
Expand,20:42,org.pwsafe.passwordsafeswt.listener,Package,,,Source Folder Contains Package,Navigation,Mouse,Package Explorer,,
Open Type,20:45,TableColumnSelectionAdapter,Class,,,Package Contains Class,Navigation,Mouse,Package Explorer,,
Scan,20:45,TableColumnSelectionAdapter,Class,,,,Navigation,,Java Editor,,
Show Declaration,21:01,TableColumnSelectionAdapter,Class,,,Declaration,Navigation,Keyboard,Java Editor,Ctrl+G,
Workspace References,21:10,TableColumnSelectionAdapter,Class,,,Workspace References Class,Navigation,Mouse,Java Editor,,
Show Instruction,21:24,,Instruction,PasswortSafeJFace,addTableView,Instruction References Class,Navigation,Mouse,Results Window,,
Scan,21:24,addTableView,Method,PasswortSafeJFace,,,Navigation,,Java Editor,,
Open Type,21:50,TableColumnSelectionAdapter,Class,,,Package Contains Class,Navigation,Mouse,Package Explorer,,
Scan,21:50,TableColumnSelectionAdapter,Class,,,,Navigation,,Java Editor,,
Open Type,22:12,PasswordTableSorter,Class,,,Source Window,Navigation,Mouse,Java Editor,,
Scan,22:12,PasswordTableSorter,Class,,,,Navigation,,Java Editor,,
Show Instruction,22:16,,Instruction,PasswortSafeJFace,addTableView,Instruction References Class,Navigation,Mouse,Results Window,,
Scan,22:16,PasswortSafeJFace,Class,,,,Navigation,,Java Editor,,
View Javadoc,22:57,PasswordTableSorter,Type of Argument,PasswortSafeJFace,addTableView,,Navigation,Mouse,Java Editor,Mouse hover,
Reproduce Bug,23:30,PasswordSafeSWT,Project,,,,Debugging,Both,PasswordSafeSWT Window,,
Scan,24:07,PasswortSafeJFace,Class,,,,Navigation,,Java Editor,,
Quick Outline,24:26,PasswortSafeJFace,Class,,,Outline of Class,Navigation,Keyboard,Java Editor,Ctrl+O,
Scan,24:26,PasswortSafeJFace,Class,,,,Navigation,,Quick Outline PopUp,,
Show Method,24:33,setLocked,Method,PasswortSafeJFace,,Class Contains Method,Navigation,Mouse,Java Editor,via Quick Outline,
Set Breakpoint,24:43,,Instruction,PasswortSafeJFace,setLocked,,Debugging,Mouse,Java Editor,,
Quick Outline,24:46,PasswortSafeJFace,Class,,,Outline of Class,Navigation,Keyboard,Java Editor,Ctrl+O,
Scan,24:46,PasswortSafeJFace,Class,,,,Navigation,,Quick Outline PopUp,,
Filter Quick Outline,24:55,“getS”,String,PasswortSafeJFace,,,Navigation,,Quick Outline PopUp,,
Show Method,24:57,setSelectedRecord,Method,PasswortSafeJFace,,Class Contains Method,Navigation,Mouse,Java Editor,via Quick Outline,
Scan,24:57,setSelectedRecord,Method,PasswortSafeJFace,,,Navigation,,Java Editor,,
Resume,25:03,,Instruction,,,,Debugging,?,Eclipse,???,
Hit Breakpoint,25:03,,Instruction,PasswortSafeJFace,setLocked,,Debugging,,Java Editor,,
Resume,25:09,,Instruction,,,,Debugging,Mouse,Eclipse,,
Scan,25:14,PasswortSafeJFace,Class,,,,Navigation,,Java Editor,,
Edit Code,25:31,,Instructions,PasswortSafeJFace,setLocked,,Edit Code,Keyboard,Java Editor,Save / Restore Selected Item,
Show Declaration,28:25,getSelectedRecord,Method,PasswortSafeJFace,,,Navigation,Both,Java Editor,Ctrl+Click on Method,
Edit Code,28:45,,Method,PasswortSafeJFace,,,Edit Code,Keyboard,Java Editor,new Method: setSelectedRecord as helper method for previous edit,
Scan,32:15,updateRecord,Method,PasswortSafeJFace,,,Navigation,,Java Editor,,
Show Declaration,32:31,updateViewers,Method,PasswortSafeJFace,,Declaration,Navigation,Both,Java Editor,Ctrl+Click on Method,
Scan,32:31,updateViewers,Method,PasswortSafeJFace,,,Navigation,,Java Editor,,
Back,32:46,,,,,,Navigation,Keyboard,Eclipse,Ctrl+Left,
Back,32:50,,,,,,Navigation,Keyboard,Eclipse,Ctrl+Left,
Edit Code,33:05,,Method,PasswortSafeJFace,setSelectedRecord,,Edit Code,Keyboard,Java Editor,continue last edit,
Show Declaration,34:25,PwsEntryBean,Class,,,Type of Argument,Navigation,Both,Java Editor,Ctrl+Click on Argument Type,
Quick Outline,34:25,PwsEntryBean,Class,,,Outline of Class,Navigation,Keyboard,Java Editor,Ctrl+O,
Filter Quick Outline,34:25,“e”,String,PwsEntryBean,,,Navigation,,Quick Outline PopUp,,
Show Method,34:27,equals,Method,PwsEntryBean,,Class Contains Method,Navigation,Mouse,Java Editor,via Quick Outline,
Close Window,34:37,PwsEntryBean,Class,,,,Navigation,Mouse,Java Editor,verified that equals is implemented correctly,
Edit Code,34:40,,Instructions,PasswortSafeJFace,,,Edit Code,Keyboard,Java Editor,completed edit,
Debug,36:53,PasswordSafeSWT,Project,,,,Debugging,Mouse,Eclipse,Breakpoint not met,
Hit Breakpoint,37:05,,Instruction,PasswortSafeJFace,setLocked,,Debugging,,Java Editor,,
Remove BreakPoint,37:07,,Instruction,PasswortSafeJFace,setLocked,,Debugging,Mouse,Java Editor,,
Step Over,37:11,,Instruction,PasswortSafeJFace,setLocked,,Debugging,Mouse,Java Editor,,
Step Over,37:12,,Instruction,PasswortSafeJFace,setLocked,,Debugging,Mouse,Java Editor,,
Step Over,37:13,,Instruction,PasswortSafeJFace,setLocked,,Debugging,Mouse,Java Editor,,
Step Over,37:14,,Instruction,PasswortSafeJFace,setLocked,,Debugging,Mouse,Java Editor,,
Resume,37:18,,Instruction,,,,Debugging,Mouse,Eclipse,,
Set Breakpoint,37:22,,Instruction,PasswortSafeJFace,setLocked,,Debugging,Mouse,Java Editor,,
View Javadoc,37:23,isTreeViewShowing,Method,PasswortSafeJFace,,,Navigation,Mouse,Java Editor,Mouse hover,
Hit Breakpoint,37:32,,Instruction,PasswortSafeJFace,setLocked,,Debugging,,Java Editor,,
Step Over,37:34,,Instruction,PasswortSafeJFace,setLocked,,Debugging,Mouse,Java Editor,,
Step Over,37:38,,Instruction,PasswortSafeJFace,setLocked,,Debugging,Mouse,Java Editor,,
Step Into,37:44,,Instruction,PasswortSafeJFace,restoreSelectedItem,,Debugging,Mouse,Java Editor,,
Step Over,37:48,,Instruction,PasswortSafeJFace,restoreSelectedItem,,Debugging,Mouse,Java Editor,,
Expand,38:06,this,Object,PasswortSafeJFace,,,Debugging,Mouse,Variables Window,,
Scan,38:07,,Variables,PasswortSafeJFace,,,Debugging,Mouse,Variables Window,,
Show Variable,38:19,lastSelected,Variable,PasswortSafeJFace,,,Debugging,Mouse,Variables Window,null,
Resume,38:24,,Instruction,,,,Debugging,Mouse,Eclipse,,
Hit Breakpoint,38:38,,Instruction,PasswortSafeJFace,setLocked,,Debugging,,Java Editor,,
Step Over,38:48,,Instruction,PasswortSafeJFace,setLocked,,Debugging,Mouse,Java Editor,,
Step Over,38:49,,Instruction,PasswortSafeJFace,setLocked,,Debugging,Mouse,Java Editor,,
Step Into,38:50,,Instruction,PasswortSafeJFace,saveSelectedItem,,Debugging,Mouse,Java Editor,,
Step Into,38:57,,Instruction,PasswortSafeJFace,getSelectedRecord,,Debugging,Mouse,Java Editor,,
Step Over,38:58,,Instruction,PasswortSafeJFace,getSelectedRecord,,Debugging,Mouse,Java Editor,,
Step Over,38:59,,Instruction,PasswortSafeJFace,getSelectedRecord,,Debugging,Mouse,Java Editor,,
Step Over,39:01,,Instruction,PasswortSafeJFace,getSelectedRecord,,Debugging,Mouse,Java Editor,,
Step Over,39:03,,Instruction,PasswortSafeJFace,getSelectedRecord,,Debugging,Mouse,Java Editor,,
Expand,39:13,this,Object,PasswortSafeJFace,,,Debugging,Mouse,Variables Window,,
Expand,39:21,table ,Variable,PasswortSafeJFace,,,Debugging,Mouse,Variables Window,Table (id=146),
Scan,39:21,table ,Variable,PasswortSafeJFace,,,Debugging,,Variables Window,,
Resume,40:03,,Instruction,,,,Debugging,Mouse,Eclipse,,
Scan,40:12,PasswortSafeJFace,Class,,,,Navigation,,Java Editor,,
Scan,40:21,getSelectedRecord,Method,PasswortSafeJFace,,,Navigation,,Java Editor,,
Workspace References,40:24,getSelectedRecord,Method,,,Workspace References Method,Navigation,Mouse,Java Editor,,
Hit Breakpoint,40:44,,Instruction,PasswortSafeJFace,setLocked,,Debugging,,Java Editor,,
Resume,40:45,,Instruction,,,,Debugging,Mouse,Eclipse,,
Scan,41:10,PasswortSafeJFace,Class,,,,Navigation,,Java Editor,,
Hit Breakpoint,41:19,,Instruction,PasswortSafeJFace,setLocked,,Debugging,,Java Editor,,
Show Declaration,41:34,saveSelectedItem,Method,PasswortSafeJFace,,Method Declaration,Navigation,Both,Java Editor,Ctrl+Click on Method,
Show Declaration,41:36,getSelectedRecord,Method,PasswortSafeJFace,,Method Declaration,Navigation,Both,Java Editor,Ctrl+Click on Method,
Set Breakpoint,41:42,,Instruction,PasswortSafeJFace,getSelectedRecord,,Debugging,Mouse,Java Editor,,
Resume,41:44,,Instruction,,,,Debugging,Mouse,Eclipse,,
Hit Breakpoint,41:44,,Instruction,PasswortSafeJFace,getSelectedRecord,,Debugging,,Java Editor,,
Step Over,41:47,,Instruction,PasswortSafeJFace,getSelectedRecord,,Debugging,Mouse,Java Editor,,
Step Over,41:47,,Instruction,PasswortSafeJFace,getSelectedRecord,,Debugging,Mouse,Java Editor,,
Resume,41:48,,Instruction,,,,Debugging,Mouse,Eclipse,,
Hit Breakpoint,41:56,,Instruction,PasswortSafeJFace,setLocked,,Debugging,,Java Editor,,
Resume,41:59,,Instruction,,,,Debugging,Mouse,Eclipse,,
Resume,42:07,,Instruction,,,,Debugging,Mouse,Eclipse,,
Hit Breakpoint,42:07,,Instruction,PasswortSafeJFace,getSelectedRecord,,Debugging,,Java Editor,,
Scan,42:11,,Variables,PasswortSafeJFace,,,Debugging,,Variables Window,,
Step Into,42:34,,Instruction,PasswortSafeJFace,getSelectedRecord,,Debugging,Mouse,Java Editor,,
Step Into,42:35,,Instruction,Table,getSelectionCount,,Debugging,Mouse,Java Editor,no Sources attached,
Step Out,42:42,,Instruction,PasswortSafeJFace,getSelectedRecord,,Debugging,Mouse,Java Editor,,
Resume,42:58,,Instruction,,,,Debugging,Mouse,Eclipse,,
Edit Code,43:03,,Instruction,PasswordSafeJFace,getSelectedRecord,,Edit Code,Keyboard,Java Editor,added not used variable,
Hit Breakpoint,43:14,,Instruction,PasswortSafeJFace,setLocked,,Debugging,,Java Editor,,
Resume,43:15,,Instruction,,,,Debugging,Mouse,Eclipse,,
Resume,43:23,,Instruction,,,,Debugging,Mouse,Eclipse,,
Scan,43:25,,Variables,PasswortSafeJFace,,,Debugging,,Variables Window,,
Show Instruction,43:32,,Instruction,PasswortSafeJFace,setLocked,Stacktrace,Navigation,Mouse,Debug Window,Click on Stacktrace,
Show Instruction,43:50,,Instruction,LockDbAction,performLock,Stacktrace,Navigation,Mouse,Debug Window,Click on Stacktrace,
Scan,43:54,performLock,Method,LockDbAction,,,Navigation,,Java Editor,,
Resume,44:14,,Instruction,,,,Debugging,Mouse,Eclipse,,
Scan,44:20,performLock,Method,LockDbAction,,,Navigation,,Java Editor,,
View Javadoc,44:23,clearView,Method,PasswortSafeJFace,,,Navigation,Mouse,Java Editor,Mouse hover,
Show Declaration,44:30,clearView,Method,PasswortSafeJFace,,Method Declaration,Navigation,Both,Java Editor,Ctrl+Click on Method,
Scan,44:31,clearView,Method,PasswortSafeJFace,,,Navigation,,Java Editor,,
Edit Code,44:44,,Instructions,PasswortSafeJFace,clearView,,Edit Code,Keyboard,Java Editor,added saveSelectedItem() to Method,
Show Declaration,45:23,saveSelectedItem,Method,PasswortSafeJFace,,Method Declaration,Navigation,Both,Java Editor,Ctrl+Click on Method,
Edit Code,45:30,,Instructions,PasswortSafeJFace,setLocked,,Edit Code,Keyboard,Java Editor,deleted saveSelectedItem() in Method,
Hit Breakpoint,45:47,,Instruction,PasswortSafeJFace,setLocked,,Debugging,,Java Editor,,
Resume,45:49,,Instruction,,,,Debugging,Mouse,Eclipse,,
Hit Breakpoint,45:57,,Instruction,PasswortSafeJFace,getSelectedRecord,,Debugging,,Java Editor,,
Resume,45:59,,Instruction,,,,Debugging,Mouse,Eclipse,,
Hit Breakpoint,45:59,,Instruction,PasswortSafeJFace,setLocked,,Debugging,,Java Editor,,
Resume,46:03,,Instruction,,,,Debugging,Mouse,Eclipse,,
Back,46:07,,,,,,Navigation,Mouse,Eclipse,,
Edit Code,46:14,,Instructions,PasswortSafeJFace,getselectedRecord,,Edit Code,Keyboard,Java Editor,deleted not used variable,
Scan,46:29,getSelectedRecord,Method,PasswortSafeJFace,,,Navigation,,Java Editor,,
Hit Breakpoint,46:35,,Instruction,PasswortSafeJFace,setLocked,,Debugging,,Java Editor,,
Step Over,46:39,,Instruction,PasswortSafeJFace,setLocked,,Debugging,Mouse,Java Editor,,
Step Over,46:40,,Instruction,PasswortSafeJFace,setLocked,,Debugging,Mouse,Java Editor,,
Step Into,46:42,,Instruction,PasswortSafeJFace,restoreSelectedItem,,Debugging,Mouse,Java Editor,,
Step Over,46:44,,Instruction,PasswortSafeJFace,restoreSelectedItem,,Debugging,Mouse,Java Editor,,
Resume,46:48,,Instruction,,,,Debugging,Mouse,Eclipse,,
Scan,46:50,getSelectedRecord,Method,PasswortSafeJFace,,,Navigation,,Java Editor,,
Resume,46:55,,Instruction,,,,Debugging,Mouse,Eclipse,,
Resume,46:56,,Instruction,,,,Debugging,Mouse,Eclipse,,
Step Over,47:09,,Instruction,PasswortSafeJFace,setLocked,,Debugging,Mouse,Java Editor,,
Step Over,47:13,,Instruction,PasswortSafeJFace,setLocked,,Debugging,Mouse,Java Editor,,
Resume,47:17,,Instruction,,,,Debugging,Mouse,Eclipse,,
Scan,47:20,getSelectedRecord,Method,PasswortSafeJFace,,,Navigation,,Java Editor,,
Scan,47:23,,Stacktrace,,,,Navigation,,Debug Window,,
Show Instruction,47:32,,Instruction,Synchronizer,runAsyncMessage,Stacktrace,Navigation,Mouse,Debug Window,Click on Stacktrace,no Sources attached
Show Instruction,47:36,,Instruction,LockDbAction,run ,Stacktrace,Navigation,Mouse,Debug Window,Click on Stacktrace,
Scan,47:36,run,Method,LockDbAction,,,Navigation,,Debug Window,,
Scan,49:13,LockDbAction,Class,,,,Navigation,,Debug Window,,
Set Breakpoint,49:19,,Instruction,LockDbAction,LockDbAction,,Debugging,Mouse,Java Editor,,
Resume,49:21,,Instruction,,,,Debugging,Mouse,Eclipse,,
Scan,49:24,setLocked,Method,LockDbAction,,,Navigation,,Java Editor,,
Resume,49:26,,Instruction,,,,Debugging,Mouse,Eclipse,,
Hit Breakpoint,49:39,,Instruction,PasswortSafeJFace,setLocked,,Debugging,,Java Editor,,
Resume,49:43,,Instruction,,,,Debugging,Mouse,Eclipse,,
Hit Breakpoint,50:00,,Instruction,PasswortSafeJFace,getSelectedRecord,,Debugging,,Java Editor,,
Remove BreakPoint,50:04,,Instruction,PasswortSafeJFace,getSelectedRecord,,Debugging,Mouse,Java Editor,,
Resume,50:06,,Instruction,,,,Debugging,Mouse,Eclipse,,
Hit Breakpoint,50:06,,Instruction,PasswortSafeJFace,setLocked,,Debugging,,Java Editor,,
Resume,50:10,,Instruction,,,,Debugging,Mouse,Eclipse,,
Hit Breakpoint,50:17,,Instruction,PasswortSafeJFace,setLocked,,Debugging,,Java Editor,,
Resume,50:21,,Instruction,,,,Debugging,Mouse,Eclipse,,
Suspend,50:38,,Instruction,,,,Debugging,Mouse,Eclipse,,
Resume,50:41,,Instruction,,,,Debugging,Mouse,Eclipse,,
Hit Breakpoint,50:52,,Instruction,PasswortSafeJFace,setLocked,,Debugging,,Java Editor,,
Expand,51:06,this,Object,PasswortSafeJFace,,,Debugging,Mouse,Variables Window,,
Scan,51:06,,Variables,PasswortSafeJFace,,,Debugging,,Variables Window,,
Show Variable,51:18,lastSelected,Variable,PasswortSafeJFace,,,Debugging,Mouse,Variables Window,PwsEntryBean 3:... (not null),
Resume,51:27,,Instruction,,,,Debugging,Mouse,Eclipse,,
Hit Breakpoint,51:33,,Instruction,PasswortSafeJFace,setLocked,,Debugging,,Java Editor,,
Step Over,51:35,,Instruction,PasswortSafeJFace,setLocked,,Debugging,Mouse,Java Editor,,
Step Into,51:39,,Instruction,PasswortSafeJFace,restoreSelectedItem,,Debugging,Mouse,Java Editor,,
